area,bedrooms,bathrooms,property_age,parking,location,property_type,price,owner_name,owner_phone,owner_email
3849,5,1,1,0,Whitefield,Apartment,603.85,Anil Sharma,9792676080,anil.sharma@gmail.com
1451,3,3,6,2,Koramangala,Villa,308.2,Meera Joshi,9227871046,meera.joshi@gmail.com
4035,5,5,19,0,Marathahalli,Independent House,509.7,Meera Joshi,9436675728,meera.joshi@gmail.com
4694,4,5,19,1,Koramangala,Apartment,959.3,Arjun Reddy,9838602389,arjun.reddy@gmail.com
4287,1,4,16,2,Marathahalli,Villa,519.44,Rajesh Kumar,9460537444,rajesh.kumar@gmail.com
3535,2,2,0,1,Whitefield,Villa,544.25,Anil Sharma,9042951240,anil.sharma@gmail.com
770,4,4,8,0,Yelahanka,Villa,101.0,Meera Joshi,9529035578,meera.joshi@gmail.com
1459,5,2,5,1,Koramangala,Apartment,318.3,Vikram Singh,9175751406,vikram.singh@gmail.com
2699,4,2,19,0,Whitefield,Apartment,419.35,Priya Rao,9704180617,priya.rao@gmail.com
2293,1,2,5,2,Whitefield,Villa,350.45,Meera Joshi,9085443372,meera.joshi@gmail.com
3105,5,1,20,0,Electronic City,Villa,296.45,Rajesh Kumar,9112827643,rajesh.kumar@gmail.com
3951,3,1,13,3,Electronic City,Villa,366.09,Priya Rao,9372797297,priya.rao@gmail.com
4629,4,4,3,2,Koramangala,Villa,952.3,Rajesh Kumar,9025358570,rajesh.kumar@gmail.com
2109,4,4,18,0,BTM,Apartment,314.26,Anil Sharma,9174288792,anil.sharma@gmail.com
2019,3,1,10,0,Whitefield,Independent House,314.85,Anil Sharma,9083866589,anil.sharma@gmail.com
3942,1,3,18,2,Koramangala,Apartment,790.4,Meera Joshi,9801392357,meera.joshi@gmail.com
948,5,2,2,2,Electronic City,Villa,113.32,Rajesh Kumar,9326039564,rajesh.kumar@gmail.com
647,5,2,13,0,HSR Layout,Apartment,132.49,Anil Sharma,9156720170,anil.sharma@gmail.com
3577,3,4,9,2,Yelahanka,Villa,376.2,Sneha Patil,9591641115,sneha.patil@gmail.com
2231,2,3,2,2,BTM,Villa,327.34,Priya Rao,9250737321,priya.rao@gmail.com
4791,3,3,0,3,Electronic City,Independent House,452.19,Sneha Patil,9162715332,sneha.patil@gmail.com
1765,1,5,4,2,Yelahanka,Apartment,189.5,Sneha Patil,9563461158,sneha.patil@gmail.com
4291,1,4,16,1,BTM,Apartment,605.74,Meera Joshi,9655340030,meera.joshi@gmail.com
3149,1,3,9,2,HSR Layout,Villa,541.83,Arjun Reddy,9874862604,arjun.reddy@gmail.com
979,3,1,8,0,Indiranagar,Apartment,228.38,Vikram Singh,9145022808,vikram.singh@gmail.com
4956,5,3,4,0,BTM,Apartment,722.84,Priya Rao,9141841037,priya.rao@gmail.com
1046,3,1,9,2,BTM,Villa,158.94,Priya Rao,9551032257,priya.rao@gmail.com
1201,5,1,5,2,Yelahanka,Apartment,144.6,Rajesh Kumar,9439069867,rajesh.kumar@gmail.com
3564,5,1,0,0,Electronic City,Independent House,347.76,Meera Joshi,9168513357,meera.joshi@gmail.com
4389,5,5,4,3,Indiranagar,Villa,998.58,Sneha Patil,9720588080,sneha.patil@gmail.com
693,1,5,12,2,Whitefield,Apartment,112.95,Sneha Patil,9590841432,sneha.patil@gmail.com
4702,2,1,2,0,Whitefield,Independent House,716.3,Arjun Reddy,9950206579,arjun.reddy@gmail.com
4578,2,4,17,0,Indiranagar,Independent House,1016.66,Priya Rao,9897531527,priya.rao@gmail.com
2878,2,1,4,2,Electronic City,Apartment,269.02,Priya Rao,9233908590,priya.rao@gmail.com
4917,1,1,17,2,Yelahanka,Apartment,490.2,Vikram Singh,9515926674,vikram.singh@gmail.com
4939,4,2,3,1,Marathahalli,Villa,615.18,Vikram Singh,9588241153,vikram.singh@gmail.com
1420,3,4,13,1,BTM,Villa,215.3,Rajesh Kumar,9805719156,rajesh.kumar@gmail.com
2766,4,1,8,2,Electronic City,Villa,266.94,Meera Joshi,9155423377,meera.joshi@gmail.com
4932,5,1,10,1,Indiranagar,Apartment,1107.04,Priya Rao,9966862859,priya.rao@gmail.com
2855,1,2,16,0,Marathahalli,Independent House,343.6,Meera Joshi,9314833267,meera.joshi@gmail.com
2441,4,4,17,1,Indiranagar,Independent House,556.52,Rajesh Kumar,9783260743,rajesh.kumar@gmail.com
3532,1,4,4,2,Whitefield,Apartment,540.8,Anil Sharma,9498958863,anil.sharma@gmail.com
1576,2,2,15,3,Yelahanka,Villa,164.1,Vikram Singh,9013008724,vikram.singh@gmail.com
1163,5,4,6,1,Indiranagar,Independent House,285.86,Arjun Reddy,9477818432,arjun.reddy@gmail.com
1880,2,2,20,1,Yelahanka,Apartment,192.0,Anil Sharma,9287175549,anil.sharma@gmail.com
4177,5,2,1,0,Koramangala,Villa,863.9,Vikram Singh,9736934820,vikram.singh@gmail.com
2507,5,1,18,2,Marathahalli,Independent House,318.84,Priya Rao,9977698771,priya.rao@gmail.com
2671,2,5,7,0,Koramangala,Apartment,550.7,Anil Sharma,9084678762,anil.sharma@gmail.com
2531,1,5,12,2,Electronic City,Apartment,236.79,Sneha Patil,9703837649,sneha.patil@gmail.com
3114,3,1,1,2,Koramangala,Independent House,639.3,Vikram Singh,9469665027,vikram.singh@gmail.com
1806,2,2,20,1,Marathahalli,Apartment,220.72,Priya Rao,9475291430,priya.rao@gmail.com
2743,5,3,19,3,Koramangala,Apartment,570.1,Rajesh Kumar,9119170222,rajesh.kumar@gmail.com
1650,3,2,19,2,Indiranagar,Villa,372.5,Arjun Reddy,9238502806,arjun.reddy@gmail.com
2335,2,3,7,3,Yelahanka,Independent House,246.0,Priya Rao,9868732535,priya.rao@gmail.com
1258,2,1,12,1,Electronic City,Independent House,119.22,Arjun Reddy,9729475325,arjun.reddy@gmail.com
1475,4,3,3,0,Koramangala,Apartment,319.5,Priya Rao,9462383141,priya.rao@gmail.com
2299,3,4,15,1,Whitefield,Villa,360.35,Arjun Reddy,9444108817,arjun.reddy@gmail.com
4740,3,4,0,2,Marathahalli,Apartment,591.8,Sneha Patil,9717948444,sneha.patil@gmail.com
1276,5,4,9,0,Marathahalli,Apartment,181.62,Rajesh Kumar,9263620487,rajesh.kumar@gmail.com
4192,4,4,3,1,Yelahanka,Independent House,445.7,Rajesh Kumar,9433972110,rajesh.kumar@gmail.com
3669,2,3,4,2,Marathahalli,Independent House,454.28,Sneha Patil,9662404932,sneha.patil@gmail.com
3729,4,1,16,3,Yelahanka,Independent House,386.9,Vikram Singh,9773137729,vikram.singh@gmail.com
3405,3,2,4,1,HSR Layout,Apartment,595.85,Anil Sharma,9354210184,anil.sharma@gmail.com
1021,4,3,11,0,Yelahanka,Villa,122.6,Anil Sharma,9505997718,anil.sharma@gmail.com
